,Planet Name,ID,FeatureName,FeatureType,Planetary Feature,Latitude of Center of Planetary Feature,Longitude of Center of Planetary Feature,Size of Planetary Feature(km)
1457,Mars,6013.0, Timoshenko , crater ,AA,41.76294,295.997391,86.1134
1456,Mars,6010.0, Timbuktu , crater ,AA,-5.56037,322.476,65.6828
1455,Mars,6009.0, Timaru , crater ,AA,-25.267474,337.662954,18.4037
1454,Mars,6045.0, Tokko , crater ,AA,22.54693,109.518679,2.69686
1453,Mars,6005.0, Tile , crater ,AA,17.726176,331.37848,8.47108
1451,Mars,6003.0, Tikhov , crater ,AA,-50.6817,105.797,110.07
1450,Mars,6001.0, Tikhonravov , crater ,AA,13.2777,35.9266,343.701
1449,Mars,5998.0, Tignish , crater ,AA,-30.7358,87.040611,20.9758
1448,Mars,5992.0, Tibrikot , crater ,AA,12.558035,305.129235,59.082
1447,Mars,5985.0, Thule , crater ,AA,-23.3724,334.276,13.0749
1445,Mars,5974.0, Thom , crater ,AA,-41.110011,92.349128,22.0623
1444,Mars,5973.0, Thira , crater ,AA,-14.474205,175.977287,21.8427
1442,Mars,5968.0, Thermia , crater ,AA,19.66731,109.173878,2.75635
1441,Mars,5924.0, Terby , crater ,AA,-27.9614,74.1408,171.497
1440,Mars,5922.0, Tepko , crater ,AA,15.209065,103.510901,3.97697
1464,Mars,6060.0, Torbay , crater ,AA,17.873762,114.080892,6.33426
1465,Mars,6066.0, Torsö , crater ,AA,-44.285611,308.820249,15.3023
457,Mercury,4315.0, Nizāmī , crater ,AA,70.46364,193.293094,77.0
1467,Mars,6096.0, Trud , crater ,AA,17.681887,328.409113,2.43656
1488,Mars,31.0, Achar , crater ,AA,45.43087,123.16148,5.36161
1487,Mars,6.0, Aban , crater ,AA,15.906934,111.101323,4.2807
1486,Mars,6136.0, Tura , crater ,AA,-26.632457,338.02479,14.8119
1485,Mars,6133.0, Tungla , crater ,AA,-40.767828,89.639826,16.6095
1484,Mars,160.0, Albany , crater ,AA,22.961917,310.980402,2.14762
1483,Mars,648.0, Bazas , crater ,AA,-27.776751,93.380802,16.4276
1482,Mars,273.0, Angu , crater ,AA,20.012631,105.636767,2.07961
1481,Mars,501.0, Aveiro , crater ,AA,21.281248,281.029029,9.10675
1480,Mars,6124.0, Tugaske , crater ,AA,-31.782424,258.887808,30.8927
1439,Mars,5918.0, Tem' , crater ,AA,41.907437,350.546438,5.87519
1479,Mars,6128.0, Tumul , crater ,AA,14.707306,104.610627,8.67824
1477,Mars,6111.0, Tsukuba , crater ,AA,48.582671,133.997618,1.85724
1476,Mars,6101.0, Tsau , crater ,AA,49.4924,121.055523,6.612
1475,Mars,434.0, Aspen , crater ,AA,-21.385504,336.850976,18.4839
1474,Mars,6098.0, Trumpler , crater ,AA,-61.434157,209.288321,75.351
1472,Mars,6095.0, Troy , crater ,AA,23.169887,307.384865,9.59466
1471,Mars,6094.0, Trouvelot , crater ,AA,16.094615,347.018608,148.775
1470,Mars,6089.0, Troika , crater ,AA,16.832457,105.139914,13.4265
1469,Mars,6085.0, Trinidad , crater ,AA,-23.381873,109.054266,27.9072
1468,Mars,6068.0, Torup , crater ,AA,-27.889405,97.808905,42.7232
1478,Mars,6121.0, Tuapi , crater ,AA,16.982668,104.338008,4.47544
1365,Mars,6441.0, Von Kármán , crater ,AA,-64.267708,301.297993,90.2947
1438,Mars,5910.0, Telz , crater ,AA,21.15946,111.119686,3.18767
1432,Mars,5901.0, Teisserenc de Bort , crater ,AA,0.433474,45.0726,114.888
1395,Mars,6557.0, Windfall , crater ,AA,-2.08539,316.674592,17.5501
1394,Mars,6539.0, Wicklow , crater ,AA,-2.014107,319.469663,21.5015
1393,Mars,6516.0, Wells , crater ,AA,-59.9353,122.403,98.2797
1392,Mars,6521.0, Wer , crater ,AA,45.674229,353.811711,3.20551
1391,Mars,6512.0, Weinbaum , crater ,AA,-65.530083,114.57128,82.0126
1390,Mars,6508.0, Wegener , crater ,AA,-64.2995,355.934,68.5137
1389,Mars,6506.0, Weert , crater ,AA,19.712663,308.306704,9.49341
1388,Mars,6499.0, Wau , crater ,AA,-44.863698,317.386295,6.7873
1387,Mars,6494.0, Wassamu , crater ,AA,25.574101,306.794466,16.2967
1386,Mars,6493.0, Waspam , crater ,AA,20.453698,303.372837,41.6001
1385,Mars,6490.0, Warra , crater ,AA,20.746053,322.367744,10.117
1382,Mars,6481.0, Wallula , crater ,AA,-9.922247,305.604331,12.1293
1380,Mars,6478.0, Wallace , crater ,AA,-52.48124,110.902824,170.781
1379,Mars,6480.0, Wallops , crater ,AA,46.589414,132.720014,1.83984
1378,Mars,6472.0, Wajir , crater ,AA,-27.02444,105.544675,11.8543
1376,Mars,6471.0, Wahoo , crater ,AA,23.233433,326.3184,63.0702
1372,Mars,6468.0, Wabash , crater ,AA,21.359599,326.358013,40.7055
1371,Mars,6464.0, Vätö , crater ,AA,-43.6086,306.31,17.2382
1369,Mars,6454.0, Voza , crater ,AA,23.342516,306.471948,2.7128
1396,Mars,6543.0, Wien , crater ,AA,-10.572037,139.750994,115.138
1398,Mars,6552.0, Williams , crater ,AA,-18.386509,195.863828,123.203
1399,Mars,6559.0, Wink , crater ,AA,-6.514468,318.657603,10.1641
1400,Mars,6564.0, Wirtz , crater ,AA,-48.235631,334.140131,120.261
1431,Mars,5894.0, Tecolote , crater ,AA,-24.549271,253.162853,47.9311
1426,Mars,5890.0, Taza , crater ,AA,-43.5746,314.704,24.2843
1425,Mars,5888.0, Taxco , crater ,AA,20.666002,319.867498,17.3597
1424,Mars,5872.0, Tarsus , crater ,AA,23.117759,319.737281,18.549
1422,Mars,5871.0, Tarma , crater ,AA,16.538052,109.85492,8.99706
1420,Mars,5868.0, Tarata , crater ,AA,-3.780207,318.776005,12.2727
1419,Mars,5865.0, Tarakan , crater ,AA,-41.206038,329.558964,39.3136
1418,Mars,5864.0, Tara , crater ,AA,-44.013198,307.162484,32.9393
1416,Mars,6640.0, Yar , crater ,AA,22.268716,320.852508,6.1817
1434,Mars,5902.0, Tejn , crater ,AA,15.387942,106.421924,3.77253
458,Mercury,5325.0, Sarmiento , crater ,AA,-29.271981,170.415593,95.0
1414,Mars,6628.0, Yala , crater ,AA,17.366017,321.422083,19.6515
1412,Mars,6625.0, Yakima , crater ,AA,43.033934,356.847592,12.5263
1410,Mars,6586.0, Wukari , crater ,AA,-31.805246,257.203662,38.215
1409,Mars,6582.0, Wright , crater ,AA,-58.51275,208.987375,113.777
1408,Mars,6619.0, Xui , crater ,AA,15.086757,112.625957,3.15198
1406,Mars,6577.0, Worcester , crater ,AA,26.6126,309.625278,24.0478
1405,Mars,6576.0, Woomera , crater ,AA,48.065579,132.616836,2.26037
1402,Mars,6565.0, Wislicenus , crater ,AA,-18.165119,11.386693,140.151
1401,Mars,6575.0, Woolgar , crater ,AA,34.657151,274.546394,15.3099
1415,Mars,6629.0, Yalata , crater ,AA,21.81277,106.165871,4.73669
1489,Mars,46.0, Adams , crater ,AA,30.9137,163.1,90.2158
1220,Mars,14300.0, Jezero , crater ,AA,18.4082,77.687349,47.5212
1214,Mars,14286.0, Steinheim , crater ,AA,54.573451,190.649871,11.2798
1068,Mars,14159.0, Puyo , crater ,AA,83.933674,137.260508,9.93574
1067,Mars,5444.0, Sevel , crater ,AA,79.213507,323.784676,7.3889
479,Mercury,3929.0, Mistral , crater ,AA,4.699722,305.328506,102.0
1066,Mars,5344.0, Savannah , crater ,AA,22.020704,312.221981,1.34411
1065,Mars,5310.0, Santa Cruz , crater ,AA,21.24554,312.735863,1.35251
1064,Mars,5299.0, San Juan , crater ,AA,22.872926,311.960675,1.23197
1063,Mars,4967.0, Rayleigh , crater ,AA,-75.571422,118.944339,125.659
1062,Mars,4926.0, Rahe , crater ,AA,25.054228,262.521364,34.4435
1061,Mars,4806.0, Portsmouth , crater ,AA,22.549934,310.928169,1.49682
1060,Mars,4802.0, Port-Au-Prince , crater ,AA,21.10334,311.821266,1.52217
1059,Mars,4656.0, Perepelkin , crater ,AA,52.435804,295.168174,77.4571
1058,Mars,4347.0, Novara , crater ,AA,-24.897941,349.31221,86.982
1057,Mars,4229.0, New Bern , crater ,AA,21.533436,310.847801,1.72692
480,Mercury,3718.0, Mark Twain , crater ,AA,-10.906337,221.717825,142.0
1051,Mars,15159.0, Tyuratam , crater ,AA,-45.04,202.04,0.3
1050,Mars,15158.0, Belyov , crater ,AA,-45.02,201.99,0.2
1049,Mars,15157.0, Reutov , crater ,AA,-45.073471,202.289749,18.02
481,Mercury,5035.0, Rilke , crater ,AA,-44.814217,347.425979,82.0
524,Mercury,6249.0, Ustad Isa , crater ,AA,-31.914403,193.888693,138.0
1069,Mars,6054.0, Tomari , crater ,AA,19.982103,113.781707,5.29392
1070,Mars,6055.0, Tombe , crater ,AA,-42.404619,315.452797,5.99421
1071,Mars,6554.0, Wilmington , crater ,AA,21.604627,312.525502,1.34593
1072,Mars,6164.0, Tycho Brahe , crater ,AA,-49.405231,146.117494,105.274
477,Mercury,3540.0, Lysippus , crater ,AA,1.027973,227.245571,155.0
1092,Mars,14570.0, Doba , crater ,AA,10.917564,119.620614,25.8886
478,Mercury,3638.0, Mansur , crater ,AA,47.405549,196.391,95.0
1090,Mars,14562.0, Cross , crater ,AA,-30.196221,202.308764,66.5665
1089,Mars,14602.0, Leighton , crater ,AA,3.07955,57.7517,65.9447
1088,Mars,14547.0, Sarh , crater ,AA,-64.845636,345.423884,50.267
1087,Mars,14546.0, Lipik , crater ,AA,-38.414208,111.611264,48.9511
1086,Mars,14544.0, Danielson , crater ,AA,7.973904,352.948827,64.2973
1085,Mars,14542.0, Saravan , crater ,AA,-16.928897,305.980449,46.8868
1045,Mars,15167.0, Koshoba , crater ,AA,22.927094,77.003448,10.334
525,Mercury,6113.0, Tsurayuki , crater ,AA,-62.992811,339.661248,83.0
875,Titan,14903.0, Momoy , crater ,AA,11.6,315.4,40.0
1083,Mars,1152.0, Charleston , crater ,AA,22.626295,312.203162,1.96172
1082,Mars,14521.0, Toro , crater ,AA,17.0354,71.815066,41.3995
1080,Mars,14501.0, Endeavour , crater ,AA,-2.283643,354.804503,21.779
1079,Mars,14768.0, Tivoli , crater ,AA,-14.326684,100.910002,32.7976
1078,Mars,14522.0, Victoria , crater ,AA,-2.052258,354.501963,0.88418
1075,Mars,14153.0, Crotone , crater ,AA,82.212748,290.688953,6.27585
1074,Mars,6948.0, Dilly , crater ,AA,13.266204,157.221963,2.12529
1073,Mars,6681.0, Yungay , crater ,AA,-43.866935,315.246744,19.6949
1084,Mars,14545.0, Galap , crater ,AA,-37.660548,192.931748,5.98696
476,Mercury,3636.0, Mansart , crater ,AA,72.721246,236.644668,84.9741
1044,Mars,15166.0, Artik , crater ,AA,-34.804001,130.98436,5.359
1039,Mars,15152.0, Martynov , crater ,AA,-30.362091,323.586639,61.13
499,Mercury,6118.0, Ts'ao Chan , crater ,AA,-13.307934,217.652694,110.0
500,Mercury,5031.0, Riemenschneider , crater ,AA,-52.750372,260.051509,183.0
501,Mercury,5149.0, Rimbaud , crater ,AA,-63.62142,211.104345,78.0
502,Mercury,5377.0, Schoenberg , crater ,AA,-16.058529,223.918612,28.0
503,Mercury,5348.0, Sayat-Nova , crater ,AA,-27.976199,237.299856,146.0
504,Mercury,5358.0, Scarlatti , crater ,AA,40.696111,258.844811,132.0
505,Mercury,5483.0, Shelley , crater ,AA,-47.689164,231.729481,171.0
506,Mercury,6140.0, Turgenev , crater ,AA,65.678568,223.743542,136.0
507,Mercury,5541.0, Simonides , crater ,AA,-29.126815,315.149977,87.0
508,Mercury,5549.0, Sinan , crater ,AA,15.461808,329.414882,134.0
509,Mercury,6132.0, Tung Yüan , crater ,AA,75.024948,297.171971,60.458
510,Mercury,6161.0, Tyagaraja , crater ,AA,3.892299,211.104531,97.0
511,Mercury,15086.0, Waters , crater ,AA,-8.958284,254.546605,15.0
512,Mercury,6536.0, Whitman , crater ,AA,41.402259,248.358172,64.0
513,Mercury,6580.0, Wren , crater ,AA,24.837506,324.054595,204.0
515,Mercury,5755.0, Sullivan , crater ,AA,-16.185933,273.116346,153.228
519,Mercury,5804.0, Sūr Dās , crater ,AA,-46.980792,266.427871,131.0
895,Titan,14902.0, Hano , crater ,AA,40.3,14.9,100.0
892,Titan,14925.0, Soi , crater ,AA,24.3,219.1,75.0
947,Titan,15311.0, Forseti , crater ,AA,25.532227,349.595947,145.0
950,Titan,15312.0, Beag , crater ,AA,-34.736023,190.449097,27.0
498,Mercury,4936.0, Rameau , crater ,AA,-54.584869,322.761285,58.0
986,Titan,15356.0, Mystis , crater ,AA,0.071411,165.142639,20.0
1038,Mars,15149.0, Blunck , crater ,AA,-27.228241,323.102966,66.485
483,Mercury,3830.0, Mena , crater ,AA,-0.170534,235.265127,15.0
484,Mercury,3954.0, Molière , crater ,AA,15.396406,342.285505,139.0
485,Mercury,3884.0, Mickiewicz , crater ,AA,23.152583,256.766981,103.0
486,Mercury,4787.0, Polygnotus , crater ,AA,-0.133542,290.738579,124.0
487,Mercury,3944.0, Mofolo , crater ,AA,-37.675929,331.778715,103.0
488,Mercury,4088.0, Myron , crater ,AA,71.211762,275.139769,25.0
489,Mercury,4071.0, Murasaki , crater ,AA,-12.535804,329.596376,132.0
490,Mercury,4820.0, Praxiteles , crater ,AA,27.106825,299.71825,198.0
482,Mercury,3730.0, Martí , crater ,AA,-75.964715,191.743723,69.4813
491,Mercury,4225.0, Neumann , crater ,AA,-37.221574,325.444274,122.0
523,Mercury,6034.0, Titian , crater ,AA,-3.686625,317.46981,109.0
493,Mercury,4672.0, Petrarch , crater ,AA,-30.522437,333.711414,167.0
522,Mercury,14392.0, Xiao Zhao , crater ,AA,10.584676,123.841593,24.0
521,Mercury,5990.0, Thākur , crater ,AA,-3.048462,295.426409,111.0
520,Mercury,5830.0, Takanobu , crater ,AA,30.660459,251.437797,72.0
494,Mercury,4693.0, Philoxenus , crater ,AA,-8.678902,248.248273,87.0
495,Mercury,4726.0, Pigalle , crater ,AA,-37.646507,350.359005,153.0
496,Mercury,4768.0, Po Ya , crater ,AA,-45.920045,339.827603,101.0
497,Mercury,4873.0, Purcell , crater ,AA,80.431925,207.794452,87.6724
492,Mercury,4532.0, Ovid , crater ,AA,-69.771814,339.773481,41.0
1219,Mars,14290.0, Sinton , crater ,AA,40.7534,31.732,62.8048
1094,Mars,14567.0, Asimov , crater ,AA,-46.96813,4.925169,80.8218
1097,Mars,14569.0, Canillo , crater ,AA,10.227991,116.475544,33.9251
1172,Mars,14205.0, Shardi , crater ,AA,10.046538,344.676927,16.7066
1171,Mars,14203.0, Runanga , crater ,AA,-26.6425,75.9597,41.364
1170,Mars,14204.0, Sefadu , crater ,AA,28.738117,325.025909,10.8409
465,Mercury,4854.0, Proust , crater ,AA,19.556405,312.405016,145.0
1167,Mars,14201.0, Ohara , crater ,AA,4.917589,82.484644,9.36628
1166,Mars,14202.0, Pebas , crater ,AA,-2.596514,359.040151,5.43336
1163,Mars,14200.0, Nakusp , crater ,AA,24.731655,324.553131,7.25562
1162,Mars,14199.0, Mazamba , crater ,AA,-27.5319,290.327,52.295
1161,Mars,14198.0, Martin , crater ,AA,-21.344827,290.748983,61.1064
1160,Mars,14197.0, Makhambet , crater ,AA,28.429425,319.526575,15.8506
1158,Mars,14196.0, Lismore , crater ,AA,27.042361,318.353406,9.34104
1155,Mars,14195.0, Kontum , crater ,AA,-32.036243,292.929828,22.2584
1154,Mars,3621.0, Manah , crater ,AA,-4.658887,326.390466,9.9021
1153,Mars,3422.0, Lisboa , crater ,AA,21.243039,312.414913,1.16707
1152,Mars,3382.0, Liais , crater ,AA,-75.304408,106.92934,122.78
1150,Mars,3188.0, La Paz , crater ,AA,21.049511,310.970459,1.3904
466,Mercury,1466.0, Delacroix , crater ,AA,-44.324795,230.493376,158.0
1149,Mars,3039.0, Kingston , crater ,AA,22.107144,312.964321,1.51594
1148,Mars,2898.0, Kaliningrad , crater ,AA,48.474448,134.962789,1.46765
1173,Mars,14206.0, Soffen , crater ,AA,-23.727303,140.863011,58.3065
1175,Mars,14207.0, Taytay , crater ,AA,7.388687,340.402694,18.1686
1178,Mars,14208.0, Uzer , crater ,AA,-1.219786,358.251741,9.24102
1179,Mars,14209.0, Woking , crater ,AA,5.119753,82.990298,9.53315
1213,Mars,14285.0, Maricourt , crater ,AA,53.338221,288.832008,9.89876
1212,Mars,14284.0, Lonar , crater ,AA,72.991406,38.288981,11.0712
1211,Mars,14283.0, Laylá , crater ,AA,-61.10633,107.11749,19.358
1210,Mars,15066.0, Camichel , crater ,AA,2.26181,308.39035,65.259
1209,Mars,14282.0, Henbury , crater ,AA,-63.494573,212.273573,25.361
1205,Mars,14271.0, Louth , crater ,AA,70.188233,103.236072,36.2879
1203,Mars,14270.0, Wynn-Williams , crater ,AA,-55.098043,60.211417,66.306
1202,Mars,14269.0, Vernal , crater ,AA,5.90295,355.554839,55.5082
463,Mercury,1113.0, Cervantes , crater ,AA,-76.088147,235.735302,213.165
1147,Mars,2884.0, Kagoshima , crater ,AA,47.318905,135.729275,1.31988
1200,Mars,14268.0, Pau , crater ,AA,-55.403003,59.303103,42.2015
1196,Mars,14302.0, Moroz , crater ,AA,-23.7713,339.427,116.303
1195,Mars,15068.0, Kolonga , crater ,AA,8.320815,305.057131,41.089
1193,Mars,14266.0, Eilat , crater ,AA,-56.529832,50.202452,29.7027
1192,Mars,15067.0, Dukhan , crater ,AA,7.755661,320.858322,34.039
1187,Mars,14265.0, Chaman , crater ,AA,-60.864232,50.962778,47.9174
464,Mercury,1208.0, Chu Ta , crater ,AA,2.044639,254.337915,100.0
1186,Mars,14212.0, Zarand , crater ,AA,-3.411711,358.502846,2.7804
1181,Mars,14211.0, Yalgoo , crater ,AA,4.931547,84.229478,17.3828
1180,Mars,14210.0, Xainza , crater ,AA,0.775158,356.063579,23.9575
1199,Mars,14267.0, Henry Moore , crater ,AA,-59.723518,53.89537,65.4735
1096,Mars,14623.0, Pursat , crater ,AA,-37.359297,130.757406,17.5451
467,Mercury,1503.0, Despréz , crater ,AA,81.075223,258.746439,47.054
1143,Mars,2701.0, Inta , crater ,AA,-24.355011,334.895017,16.1202
1115,Mars,14740.0, Avarua , crater ,AA,-35.925954,109.664911,49.9887
1114,Mars,15002.0, Robert Sharp , crater ,AA,-4.166565,133.422913,152.077
472,Mercury,3353.0, Leopardi , crater ,AA,-72.755159,175.159711,71.4533
1113,Mars,14654.0, Oyama , crater ,AA,23.5662,339.888,100.778
1112,Mars,14652.0, Luqa , crater ,AA,-18.225866,131.824497,17.1358
1111,Mars,14651.0, Cankuzo , crater ,AA,-19.4217,52.034101,48.4475
1110,Mars,14630.0, Kibuye , crater ,AA,-29.127885,181.815637,7.14469
473,Mercury,5169.0, Rodin , crater ,AA,21.72004,341.111086,230.0
1108,Mars,14626.0, Matara , crater ,AA,-49.61024,34.59338,48.8436
1107,Mars,1275.0, Colón , crater ,AA,22.749159,312.934035,1.3621
1105,Mars,14625.0, Yaren , crater ,AA,-43.883066,222.551309,9.19357
1104,Mars,14624.0, Roseau , crater ,AA,-41.687245,150.569664,6.48632
1103,Mars,14622.0, Kandi , crater ,AA,-32.74579,122.097076,8.2384
474,Mercury,3380.0, Li Po , crater ,AA,17.101558,324.314516,126.0
1101,Mars,14620.0, Horowitz , crater ,AA,-32.059907,140.753186,64.9022
1100,Mars,14593.0, Gasa , crater ,AA,-35.717861,129.399821,7.02522
1099,Mars,14571.0, Ehden , crater ,AA,8.229999,119.008826,57.395
1098,Mars,14621.0, Kamnik , crater ,AA,-37.205882,198.210469,10.3735
475,Mercury,3495.0, Lu Hsun , crater ,AA,-0.010223,336.236351,96.0
471,Mercury,3356.0, Lermontov , crater ,AA,15.238897,311.057464,166.0
1117,Mars,14747.0, Harris , crater ,AA,-21.904659,66.807327,81.5638
1118,Mars,14741.0, Dowa , crater ,AA,-31.657709,110.238348,40.8407
1119,Mars,14742.0, Fitzroy , crater ,AA,-35.686595,112.058901,38.1695
468,Mercury,1527.0, Dickens , crater ,AA,-73.263198,204.041208,77.3078
1141,Mars,2568.0, Hsūanch'eng , crater ,AA,46.720537,132.68873,1.9898
1140,Mars,2337.0, Hamaguir , crater ,AA,48.678593,132.512454,0.82098
1139,Mars,2260.0, Groves , crater ,AA,-4.063436,315.449151,10.2706
1138,Mars,15087.0, Lucaya , crater ,AA,-11.554184,51.909439,34.212
1137,Mars,2211.0, Goldstone , crater ,AA,47.768569,134.58061,1.02684
1135,Mars,2056.0, Gah , crater ,AA,-44.694144,327.362435,2.77879
1134,Mars,1889.0, Evpatoriya , crater ,AA,46.951832,134.361016,1.03859
1133,Mars,1706.0, Eberswalde , crater ,AA,-23.975314,326.702935,62.1874
1145,Mars,2835.0, Johannesburg , crater ,AA,47.921789,133.186833,1.21646
1129,Mars,1651.0, Du Toit , crater ,AA,-71.622466,310.403485,81.816
1127,Mars,1370.0, Cypress , crater ,AA,-47.280488,312.64716,14.6722
1126,Mars,1009.0, Cantoura , crater ,AA,14.838572,308.283895,51.5905
1125,Mars,281.0, Annapolis , crater ,AA,23.164438,312.273151,1.11386
1124,Mars,189.0, Alitus , crater ,AA,-34.911952,321.857081,49.9992
1123,Mars,14767.0, Vaduz , crater ,AA,38.236619,15.78902,1.99921
1122,Mars,14766.0, Milna , crater ,AA,-23.4631,347.761194,27.4752
470,Mercury,5486.0, Shevchenko , crater ,AA,-53.641439,313.984733,143.0
1121,Mars,14744.0, Pál , crater ,AA,-31.307102,108.70343,71.214
1120,Mars,14743.0, Greg , crater ,AA,-38.593823,112.893233,68.1209
469,Mercury,1576.0, Donne , crater ,AA,2.92242,345.948265,86.0
1854,Mars,3053.0, Kisambo , crater ,AA,34.074659,271.078367,15.2234
1490,Mars,81.0, Agassiz , crater ,AA,-69.882599,271.114543,108.767
1492,Mars,124.0, Ajon , crater ,AA,16.491309,103.142901,8.08362
1738,Mars,2107.0, Gari , crater ,AA,-35.876981,288.773516,9.42558
1737,Mars,2105.0, Gardo , crater ,AA,-26.665209,335.227855,15.5252
1736,Mars,2092.0, Gandzani , crater ,AA,34.238534,269.169251,51.9134
1735,Mars,2090.0, Gandu , crater ,AA,-45.3763,312.71951,9.48857
1734,Mars,2089.0, Gander , crater ,AA,-31.257345,94.221291,36.0805
1733,Mars,2082.0, Galu , crater ,AA,-22.076165,338.330837,13.5683
1732,Mars,2080.0, Galle , crater ,AA,-50.628624,329.000661,223.528
1731,Mars,2075.0, Galilaei , crater ,AA,5.72116,333.091,137.172
1730,Mars,2073.0, Gali , crater ,AA,-43.747743,322.811238,25.8649
1729,Mars,2071.0, Gale , crater ,AA,-5.3672,137.811,154.084
1728,Mars,2070.0, Galdakao , crater ,AA,-13.3389,176.628,33.4356
1727,Mars,2055.0, Gagra , crater ,AA,-20.635867,337.897267,13.4084
1726,Mars,2047.0, Gaan , crater ,AA,38.659736,356.59575,3.00918
1725,Mars,2040.0, Funchal , crater ,AA,22.980177,310.560975,1.61615
1724,Mars,2019.0, Freedom , crater ,AA,43.359926,351.019321,12.7403
1723,Mars,2004.0, Fournier , crater ,AA,-4.29939,72.637778,114.276
1722,Mars,1995.0, Foros , crater ,AA,-33.396592,332.129244,24.5439
1721,Mars,1991.0, Fontana , crater ,AA,-62.908792,287.881501,80.0621
1720,Mars,1989.0, Focas , crater ,AA,33.5642,12.7511,72.0233
1739,Mars,2109.0, Garm , crater ,AA,48.25307,350.938705,4.80176
1740,Mars,2113.0, Gastre , crater ,AA,24.607015,112.52599,7.09758
1741,Mars,2160.0, Gilbert , crater ,AA,-67.998972,86.082272,121.34
1742,Mars,2164.0, Gill , crater ,AA,15.7631,5.547093,83.1704
1759,Mars,2278.0, Gulch , crater ,AA,15.8452,109.021,8.32425
1758,Mars,2274.0, Guir , crater ,AA,-21.5366,339.496798,18.2015
1757,Mars,2266.0, Guaymas , crater ,AA,25.664031,314.966579,20.1157
1756,Mars,2264.0, Grójec , crater ,AA,-21.470102,329.156404,37.315
1755,Mars,2244.0, Green , crater ,AA,-52.3007,351.456,182.071
1754,Mars,2234.0, Graff , crater ,AA,-21.180551,153.808071,154.492
1753,Mars,2225.0, Gori , crater ,AA,-22.945467,331.171033,6.4329
1752,Mars,2209.0, Golden , crater ,AA,-22.006741,326.513311,19.5915
446,Mercury,2761.0, Ives , crater ,AA,-32.871411,248.010433,18.0
1719,Mars,1982.0, Flora , crater ,AA,-44.6656,308.55,18.3097
1751,Mars,2208.0, Gold , crater ,AA,20.026896,328.757406,8.90602
1749,Mars,2205.0, Goff , crater ,AA,23.260246,104.857896,7.95427
447,Mercury,2536.0, Holbein , crater ,AA,36.16109,330.156306,115.0
1748,Mars,2197.0, Goba , crater ,AA,-23.222608,338.988618,10.8973
1747,Mars,2191.0, Globe , crater ,AA,-23.6848,332.648,50.7406
448,Mercury,2545.0, Homer , crater ,AA,-1.299843,323.375113,319.0
1746,Mars,2190.0, Glide , crater ,AA,-8.130766,316.821308,9.84961
1745,Mars,2189.0, Glendore , crater ,AA,18.337006,308.333561,8.22899
1744,Mars,2188.0, Gledhill , crater ,AA,-53.174418,87.101677,78.4697
1743,Mars,2187.0, Glazov , crater ,AA,-20.620299,333.410011,22.0159
1750,Mars,2207.0, Gol , crater ,AA,47.152688,349.359578,9.53234
1760,Mars,2284.0, Gunnison , crater ,AA,-43.669422,102.917522,39.5735
1718,Mars,1981.0, Floq , crater ,AA,14.94108,107.159388,2.55007
1716,Mars,1976.0, Flat , crater ,AA,-25.418988,340.452846,3.03657
1692,Mars,1702.0, Eads , crater ,AA,-28.483344,330.090722,2.74141
1691,Mars,1687.0, Dzeng , crater ,AA,-80.507554,289.527364,10.8786
1690,Mars,1675.0, Dush , crater ,AA,22.494248,305.981791,2.39172
1689,Mars,1664.0, Dunhuang , crater ,AA,-80.839585,311.472339,11.7325
1688,Mars,1654.0, Dubki , crater ,AA,-34.968697,304.799156,9.18832
1687,Mars,1650.0, Du Martheray , crater ,AA,5.45432,93.5809,96.1162
1686,Mars,1641.0, Dromore , crater ,AA,19.880039,310.417621,14.747
1685,Mars,1634.0, Downe , crater ,AA,-15.9775,175.783,28.1293
1684,Mars,1631.0, Douglass , crater ,AA,-51.3446,289.464,92.9502
1683,Mars,1578.0, Doon , crater ,AA,23.529879,109.507745,3.79045
1682,Mars,1565.0, Dokuchaev , crater ,AA,-60.623891,232.915455,74.7362
1681,Mars,1564.0, Dokka , crater ,AA,77.171287,214.244543,51.1001
1680,Mars,1552.0, Dixie , crater ,AA,17.776836,304.085664,28.4443
1679,Mars,1549.0, Dison , crater ,AA,-25.03223,343.498669,20.6655
1678,Mars,1540.0, Dinorwic , crater ,AA,-30.032738,258.536567,51.3296
1677,Mars,1539.0, Dingo , crater ,AA,-23.705724,342.506262,15.5586
1676,Mars,1521.0, Dia-Cau , crater ,AA,-0.363011,317.335225,29.469
1675,Mars,1504.0, Dessau , crater ,AA,-42.759592,306.874304,9.95047
1674,Mars,1500.0, Deseado , crater ,AA,-80.623746,70.287599,26.997
1693,Mars,1703.0, Eagle , crater ,AA,43.808449,351.834667,12.502
1694,Mars,1710.0, Echt , crater ,AA,-21.972891,331.81263,2.14874
449,Mercury,2552.0, Horace , crater ,AA,-69.343758,309.978187,56.0
1695,Mars,1716.0, Edam , crater ,AA,-26.280734,339.961349,19.489
1715,Mars,1973.0, Flammarion , crater ,AA,25.2209,48.2764,173.7
1714,Mars,1948.0, Fesenkov , crater ,AA,21.664,273.474,87.38
1713,Mars,1935.0, Fenagh , crater ,AA,34.290378,144.366962,6.21521
1712,Mars,1915.0, Fastov , crater ,AA,-25.041132,339.625824,11.1185
1711,Mars,1909.0, Faqu , crater ,AA,-24.541929,106.342302,12.2518
